REGION,EMISSION,YEAR,VALUE
REGION1,HUHO,2018,0.83736
REGION1,HUHO,2019,0.83736
REGION1,HUHO,2020,0.83736
REGION1,HUHO,2021,0.83736
REGION1,HUHO,2022,0.83736
REGION1,HUHO,2023,0.83736
REGION1,HUHO,2024,0.83736
REGION1,HUHO,2025,0.83736
REGION1,HUHO,2026,0.83736
REGION1,HUHO,2027,0.83736
REGION1,HUHO,2028,0.83736
REGION1,HUHO,2029,0.83736
REGION1,HUHO,2030,0.83736
REGION1,HUHO,2031,0.83736
REGION1,HUHO,2032,0.83736
REGION1,HUHO,2033,0.83736
REGION1,HUHO,2034,0.83736
REGION1,HUHO,2035,0.83736
REGION1,HUHO,2036,0.83736
REGION1,HUHO,2037,0.83736
REGION1,HUHO,2038,0.83736
REGION1,HUHO,2039,0.83736
REGION1,HUHO,2040,0.83736
REGION1,HUHO,2041,1.1974248
REGION1,HUHO,2042,1.5574896
REGION1,HUHO,2043,1.9175544
REGION1,HUHO,2044,2.2776192
REGION1,HUHO,2045,2.637684
REGION1,HUHO,2046,2.8805184
REGION1,HUHO,2047,3.1233528
REGION1,HUHO,2048,3.3661872
REGION1,HUHO,2049,3.609
REGION1,HUHO,2050,3.851856
REGION1,HUHO,2051,4.00593024
REGION1,HUHO,2052,4.16616745
REGION1,HUHO,2053,4.332814148
REGION1,HUHO,2054,4.506126713
REGION1,HUHO,2055,4.686371782
REGION1,HUHO,2056,4.873826653
REGION1,HUHO,2057,5.068779719
REGION1,HUHO,2058,5.271530908
REGION1,HUHO,2059,5.482392145
REGION1,HUHO,2060,5.70168783
REGION1,IEHO,2015,2.595816
REGION1,IEHO,2016,2.7381672
REGION1,IEHO,2017,2.8805184
REGION1,IEHO,2018,3.0228696
REGION1,IEHO,2019,3.1652208
REGION1,IEHO,2020,3.307572
REGION1,IEHO,2021,3.2991984
REGION1,IEHO,2022,3.2908248
REGION1,IEHO,2023,3.2824512
REGION1,IEHO,2024,3.2740776
REGION1,IEHO,2025,3.265704
REGION1,IEHO,2026,3.265704
REGION1,IEHO,2027,3.265704
REGION1,IEHO,2028,3.265704
REGION1,IEHO,2029,3.265704
REGION1,IEHO,2030,3.265704
REGION1,IEHO,2031,3.2824512
REGION1,IEHO,2032,3.2991984
REGION1,IEHO,2033,3.3159456
REGION1,IEHO,2034,3.3326928
REGION1,IEHO,2035,3.34944
REGION1,IEHO,2036,3.475044
REGION1,IEHO,2037,3.600648
REGION1,IEHO,2038,3.726252
REGION1,IEHO,2039,3.851856
REGION1,IEHO,2040,3.97746
REGION1,IEHO,2041,4.1616792
REGION1,IEHO,2042,4.3458984
REGION1,IEHO,2043,4.5301176
REGION1,IEHO,2044,4.7143368
REGION1,IEHO,2045,4.898556
REGION1,IEHO,2046,4.9990392
REGION1,IEHO,2047,5.0995224
REGION1,IEHO,2048,5.2000056
REGION1,IEHO,2049,5.3005
REGION1,IEHO,2050,5.400972
REGION1,IEHO,2051,5.45498172
REGION1,IEHO,2052,5.509531537
REGION1,IEHO,2053,5.564626853
REGION1,IEHO,2054,5.620273121
REGION1,IEHO,2055,5.676475852
REGION1,IEHO,2056,5.733240611
REGION1,IEHO,2057,5.790573017
REGION1,IEHO,2058,5.848478747
REGION1,IEHO,2059,5.906963535
REGION1,IEHO,2060,5.96603317
REGION1,ITHO,2015,173.291652
REGION1,ITHO,2016,172.872972
REGION1,ITHO,2017,172.454292
REGION1,ITHO,2018,172.035612
REGION1,ITHO,2019,171.616932
REGION1,ITHO,2020,171.198252
REGION1,ITHO,2021,172.2365784
REGION1,ITHO,2022,173.2749048
REGION1,ITHO,2023,174.3132312
REGION1,ITHO,2024,175.3515576
REGION1,ITHO,2025,176.389884
REGION1,ITHO,2026,176.934168
REGION1,ITHO,2027,177.478452
REGION1,ITHO,2028,178.022736
REGION1,ITHO,2029,178.56702
REGION1,ITHO,2030,179.111304
REGION1,ITHO,2031,180.2584872
REGION1,ITHO,2032,181.4056704
REGION1,ITHO,2033,182.5528536
REGION1,ITHO,2034,183.7000368
REGION1,ITHO,2035,184.84722
